platform	month	eq. cross. time	node
AVN15	2007-10-01	17:13:33.400057	ascending
AVN15	2007-11-01	17:11:57.560866	ascending
AVN15	2007-12-01	17:10:24.507019	ascending
AVN15	2008-01-01	17:08:49.549400	ascending
AVN15	2008-02-01	17:07:16.488029	ascending
AVN15	2008-03-01	17:05:52.226244	ascending
AVN15	2008-04-01	17:04:25.917123	ascending
AVN15	2008-05-01	17:03:04.031787	ascending
AVN15	2008-06-01	17:01:41.691668	ascending
AVN15	2008-07-01	17:00:23.207869	ascending
AVN15	2008-08-01	16:59:00.012671	ascending
AVN15	2008-09-01	16:57:41.872237	ascending
AVN15	2008-10-01	16:56:27.474040	ascending
AVN15	2008-11-01	16:55:15.436977	ascending
AVN15	2008-12-01	16:54:03.624503	ascending
AVN15	2009-01-01	16:52:52.828249	ascending
AVN15	2009-02-01	16:51:44.197258	ascending
AVN15	2009-03-01	16:50:44.696806	ascending
AVN15	2009-04-01	16:49:43.421767	ascending
AVN15	2009-05-01	16:48:46.455833	ascending
AVN15	2009-06-01	16:47:48.957557	ascending
AVN15	2009-07-01	16:46:54.539584	ascending
AVN15	2009-08-01	16:45:59.312282	ascending
AVN15	2009-09-01	16:45:09.160255	ascending
AVN15	2009-10-01	16:44:19.765151	ascending
AVN15	2009-11-01	16:43:33.774366	ascending
AVN15	2009-12-01	16:42:50.239783	ascending
AVN15	2010-01-01	16:42:07.195610	ascending
AVN15	2010-02-01	16:41:25.273741	ascending
AVN15	2010-03-01	16:40:52.663990	ascending
AVN15	2010-04-01	16:40:19.835556	ascending
AVN15	2010-05-01	16:39:51.090347	ascending
AVN15	2010-06-01	16:39:22.614232	ascending
AVN15	2010-07-01	16:38:56.747550	ascending
AVN15	2010-08-01	16:38:30.806634	ascending
AVN15	2010-09-01	16:38:09.820601	ascending
AVN15	2010-10-01	16:37:52.869824	ascending
AVN15	2010-11-01	16:37:36.377579	ascending
AVN15	2010-12-01	16:37:21.859264	ascending
AVN15	2011-01-01	16:37:08.767159	ascending
AVN15	2011-02-01	16:36:59.034316	ascending
AVN15	2011-03-01	16:36:53.621642	ascending
AVN15	2011-04-01	16:36:51.078981	ascending
AVN15	2011-05-01	16:36:51.459451	ascending
AVN15	2011-06-01	16:36:54.988096	ascending
AVN15	2011-07-01	16:36:59.915815	ascending
AVN15	2011-08-01	16:37:07.792404	ascending
AVN15	2011-09-01	16:37:16.673288	ascending
AVN15	2011-10-01	16:37:28.651882	ascending
AVN15	2011-11-01	16:37:43.421302	ascending
AVN15	2011-12-01	16:37:59.196765	ascending
AVN15	2012-01-01	16:38:19.749655	ascending
AVN15	2012-02-01	16:38:41.887283	ascending
AVN15	2012-03-01	16:39:07.162441	ascending
AVN15	2012-04-01	16:39:37.084988	ascending
AVN15	2012-05-01	16:40:10.438488	ascending
AVN15	2012-06-01	16:40:45.312711	ascending
AVN15	2012-07-01	16:41:19.171106	ascending
AVN15	2012-08-01	16:41:56.965456	ascending
AVN15	2012-09-01	16:42:39.824398	ascending
AVN15	2012-10-01	16:43:21.946720	ascending
AVN15	2012-11-01	16:44:07.811662	ascending
AVN15	2012-12-01	16:44:55.012112	ascending
AVN15	2013-01-01	16:45:45.375961	ascending
AVN15	2013-02-01	16:46:37.669755	ascending
AVN15	2013-03-01	16:47:34.082305	ascending
AVN15	2013-04-01	16:48:28.031531	ascending
AVN15	2013-05-01	16:49:31.362792	ascending
AVN15	2013-06-01	16:50:37.071268	ascending
AVN15	2013-07-01	16:51:40.598726	ascending
AVN15	2013-08-01	16:52:50.164023	ascending
AVN15	2013-09-01	16:54:01.034366	ascending
AVN15	2013-10-01	16:55:08.656791	ascending
AVN15	2013-11-01	16:56:25.704340	ascending
AVN15	2013-12-01	16:57:38.064368	ascending
AVN15	2014-01-01	16:58:54.386182	ascending
AVN15	2014-02-01	17:00:13.813637	ascending
AVN15	2014-03-01	17:01:33.206608	ascending
AVN15	2014-04-01	17:02:57.824557	ascending
AVN15	2014-05-01	17:04:22.782872	ascending
AVN15	2014-06-01	17:05:57.310485	ascending
AVN15	2014-07-01	17:07:27.080164	ascending
AVN15	2014-08-01	17:09:01.352734	ascending
AVN15	2014-09-01	17:10:33.897437	ascending
AVN15	2014-10-01	17:12:13.209406	ascending
AVN15	2014-11-01	17:13:50.299312	ascending
AVN15	2014-12-01	17:15:27.083132	ascending
AVN15	2015-01-01	17:17:09.364734	ascending
AVN15	2015-02-01	17:18:51.233528	ascending
AVN15	2015-03-01	17:20:25.157256	ascending
AVN15	2015-04-01	17:22:14.841238	ascending
AVN15	2015-05-01	17:23:58.596206	ascending
AVN15	2015-06-01	17:25:52.585684	ascending
AVN15	2015-07-01	17:27:39.484670	ascending
